date,timestamp,open,high,low,close,volume
2015-07-20,1437350400000,277.98,280.0,277.37,280.0,782.88341959
2015-07-21,1437436800000,279.96,281.27,276.85,277.32,4943.55943437
2015-07-22,1437523200000,277.33,278.54,275.01,277.89,4687.90938331
2015-07-23,1437609600000,277.96,279.75,276.28,277.39,5306.91957531
2015-07-24,1437696000000,277.23,291.52,276.43,289.12,7362.46908295
2015-07-25,1437782400000,289.12,291.67,286.82,289.7,4102.45296008
2015-07-26,1437868800000,289.68,294.49,288.65,293.89,3735.24660255
2015-07-27,1437955200000,293.88,297.0,287.24,294.21,6461.0331349
2015-07-28,1438041600000,294.22,298.0,293.65,295.76,5761.8696177
2015-07-29,1438128000000,295.74,296.58,289.01,290.19,5223.50717064
2015-07-30,1438214400000,290.26,291.56,286.56,288.49,5138.98154856
2015-07-31,1438300800000,288.49,290.0,282.79,285.19,5676.61845893
2015-08-01,1438387200000,285.2,285.6,277.26,281.53,3932.44975145
2015-08-02,1438473600000,281.53,282.62,277.33,282.62,3361.0866893
2015-08-03,1438560000000,282.62,285.86,280.27,280.95,4741.72910667
2015-08-04,1438646400000,280.95,286.47,280.11,285.51,5580.22052955
2015-08-05,1438732800000,285.6,286.25,282.01,282.77,5765.48779667
2015-08-06,1438819200000,282.44,282.61,278.95,279.65,5027.85564067
2015-08-07,1438905600000,279.37,281.17,277.05,279.94,5212.45690065
2015-08-08,1438992000000,280.06,280.16,260.07,262.02,6085.44943664
2015-08-09,1439078400000,262.02,268.8,260.97,267.63,5046.97687512
2015-08-10,1439164800000,267.6,268.89,263.17,265.15,5478.58214893
2015-08-11,1439251200000,265.15,271.99,264.91,271.99,5796.14479285
2015-08-12,1439337600000,271.99,272.4,265.79,266.94,6350.25601895
2015-08-13,1439424000000,266.81,267.82,262.94,264.67,5343.42301753
2015-08-14,1439510400000,264.48,267.98,262.5,266.17,6859.07697033
2015-08-15,1439596800000,266.21,267.69,261.77,262.46,4116.06182042
2015-08-16,1439683200000,262.45,263.1,255.67,259.2,5493.63748757
2015-08-17,1439769600000,259.2,261.57,255.58,257.31,6966.79970621
2015-08-18,1439856000000,257.56,258.04,200.0,221.99,11541.79729515
2015-08-19,1439942400000,221.99,238.99,214.91,227.34,13329.69033609
2015-08-20,1440028800000,227.46,238.2,227.45,235.56,8819.52508175
2015-08-21,1440115200000,235.56,236.99,231.15,232.85,8328.5779028
2015-08-22,1440201600000,232.85,235.53,222.68,231.15,7197.34948925
2015-08-23,1440288000000,231.16,233.25,226.15,229.21,4312.6376901
2015-08-24,1440374400000,229.23,229.24,210.0,211.16,16523.78944494
2015-08-25,1440460800000,211.16,229.49,198.02,223.73,19685.20578035
2015-08-26,1440547200000,223.73,231.97,220.16,226.81,9756.26262065
2015-08-27,1440633600000,226.72,229.99,224.0,225.8,7891.14647013
2015-08-28,1440720000000,225.62,236.18,221.2,231.55,9155.34886512
2015-08-29,1440806400000,231.55,233.95,228.0,230.61,4469.25113064
2015-08-30,1440892800000,230.61,233.47,226.59,229.39,4975.99074234
2015-08-31,1440979200000,229.4,233.0,225.23,230.75,6986.51571867
2015-09-01,1441065600000,230.76,233.5,226.42,228.22,8599.28297275
2015-09-02,1441152000000,228.22,231.43,226.43,229.97,7461.09419833
2015-09-03,1441238400000,229.95,230.79,226.48,227.25,6669.72158489
2015-09-04,1441324800000,227.24,232.49,227.24,231.39,7070.63136039
2015-09-05,1441411200000,231.43,237.24,230.12,236.01,5615.31975395
2015-09-06,1441497600000,236.17,244.82,235.54,241.29,5273.5396927
2015-09-07,1441584000000,241.26,242.98,239.21,241.31,4902.58116068
2015-09-08,1441670400000,241.31,247.82,240.31,244.14,8297.98385459
2015-09-09,1441756800000,244.24,244.69,238.6,238.75,6819.43626768
2015-09-10,1441843200000,238.74,241.4,236.69,238.52,5812.39815317
2015-09-11,1441929600000,238.55,241.54,238.5,240.9,5856.64280098
2015-09-12,1442016000000,240.9,241.12,235.26,236.5,5480.20471378
2015-09-13,1442102400000,236.5,236.91,229.72,230.82,5004.42997556
2015-09-14,1442188800000,230.83,233.99,228.01,231.01,7984.56251326
2015-09-15,1442275200000,231.02,232.43,230.26,230.6,7118.30792605
2015-09-16,1442361600000,230.67,232.0,226.85,229.73,7655.65298843
2015-09-17,1442448000000,229.72,235.93,229.01,233.34,7527.99830632
2015-09-18,1442534400000,233.31,234.96,231.75,233.78,4688.4507946
2015-09-19,1442620800000,233.78,234.31,232.0,232.88,3604.57190273
2015-09-20,1442707200000,232.88,234.0,231.84,232.24,3683.55398908
2015-09-21,1442793600000,232.26,233.64,226.87,227.31,7599.80481578
2015-09-22,1442880000000,227.31,232.5,224.45,231.28,8900.96660186
2015-09-23,1442966400000,231.31,233.0,229.27,230.26,6357.67604853
2015-09-24,1443052800000,230.26,235.99,230.09,235.27,9375.09414213
2015-09-25,1443139200000,235.35,237.62,234.02,235.89,6186.86283845
2015-09-26,1443225600000,235.88,236.2,233.5,234.69,4167.95246947
2015-09-27,1443312000000,234.67,235.03,233.2,233.58,3302.85450184
2015-09-28,1443398400000,233.53,240.52,233.53,239.99,8114.32217801
2015-09-29,1443484800000,239.96,241.05,236.65,236.89,6984.74661537
2015-09-30,1443571200000,236.88,238.75,236.26,237.14,5479.4328461
2015-10-01,1443657600000,237.1,239.86,236.9,238.34,5676.93891488
2015-10-02,1443744000000,238.34,239.4,236.97,238.28,5907.54929183
2015-10-03,1443830400000,238.31,240.62,237.73,239.92,4332.27031897
2015-10-04,1443916800000,239.93,240.28,239.07,239.87,3794.12085585
2015-10-05,1444003200000,239.87,240.98,237.5,240.95,7487.56172347
2015-10-06,1444089600000,240.93,248.0,240.31,246.64,9578.72146391
2015-10-07,1444176000000,246.7,247.96,240.2,244.0,8822.05479471
2015-10-08,1444262400000,244.0,245.38,242.2,242.94,5622.45156751
2015-10-09,1444348800000,242.94,244.88,241.1,244.35,4935.02552161
2015-10-10,1444435200000,244.44,246.1,243.8,246.07,3688.53341368
2015-10-11,1444521600000,246.06,250.0,245.63,249.02,4323.26612441
2015-10-12,1444608000000,249.01,249.14,245.89,246.39,5402.18608546
2015-10-13,1444694400000,246.43,251.5,244.86,250.99,6502.18526608
2015-10-14,1444780800000,250.98,255.0,250.25,253.27,7587.52667361
2015-10-15,1444867200000,253.25,256.77,253.18,254.99,6678.9212441
2015-10-16,1444953600000,254.98,267.6,254.86,263.43,9215.97339011
2015-10-17,1445040000000,263.45,274.81,263.05,272.87,11034.22730695
2015-10-18,1445126400000,272.88,273.5,262.94,265.0,5660.0181334
2015-10-19,1445212800000,265.0,268.23,262.05,265.17,5364.33182456
2015-10-20,1445299200000,265.09,272.95,264.38,271.14,4648.36685323
2015-10-21,1445385600000,271.16,272.85,265.0,268.77,6195.06646892
2015-10-22,1445472000000,268.77,280.0,268.75,275.84,8695.88388281
2015-10-23,1445558400000,275.76,281.17,275.4,278.76,7072.89470388
2015-10-24,1445644800000,278.76,284.49,278.75,284.29,5508.01672516
2015-10-25,1445731200000,284.29,295.93,283.28,284.97,10695.70837063
2015-10-26,1445817600000,284.97,287.68,282.04,287.1,7477.92421946
2015-10-27,1445904000000,287.1,297.99,286.89,295.61,11123.68178775
2015-10-28,1445990400000,295.68,308.93,295.65,304.09,16047.51077092
2015-10-29,1446076800000,304.1,320.99,301.8,316.08,12247.98107552
2015-10-30,1446163200000,316.07,336.97,315.9,329.11,16830.20005473
2015-10-31,1446249600000,329.11,334.28,306.29,314.85,15213.75033133
2015-11-01,1446336000000,314.84,332.0,311.44,329.46,10727.71808575
2015-11-02,1446422400000,329.45,371.82,326.07,365.21,19750.03524771
